_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.5,M5513,GSE3982 MAC VS TH2 UP,M1,1,0
1,-2.5,M4404,GSE22886 CD8 VS CD4 NAIVE TCELL DN,M1,1,0
1,-4,GO:2000617,positive regulation of histone H3-K9 acetylation,M1,1,0
1,-3.6,R-HSA-9734009,Defective Intrinsic Pathway for Apoptosis,M1,1,0
1,-24,WP4172,PI3K-Akt signaling pathway,M1,1,0
1,-5.1,GO:0034329,cell junction assembly,M1,1,0
1,-3.8,R-HSA-8875878,MET promotes cell motility,M1,1,0
1,-3.1,R-HSA-2644603,Signaling by NOTCH1 in Cancer,M1,1,0
1,-5.4,GO:0048018,receptor ligand activity,M1,1,0
1,-3.2,M308,TSAI RESPONSE TO RADIATION THERAPY,M1,1,0
1,-11,hsa05132,Salmonella infection,M1,1,0
1,-4.2,GO:0007095,mitotic G2 DNA damage checkpoint signaling,M1,1,0
1,-3,M328,GSE8685 IL2 STARVED VS IL21 ACT IL2 STARVED CD4 TCELL UP,M1,1,0
1,-4.5,M1157,KONG E2F3 TARGETS,M1,1,0
1,-2.8,GO:0035272,exocrine system development,M1,1,0
1,-7.6,M62,PID EPHB FWD PATHWAY,M1,1,0
1,-5.4,GO:0000729,DNA double-strand break processing,M1,1,0
1,-4.9,GO:0046660,female sex differentiation,M1,1,0
1,-3.1,GO:0048489,synaptic vesicle transport,M1,1,0
1,-3,GO:0010661,positive regulation of muscle cell apoptotic process,M1,1,0
1,-2.9,GO:0043516,"regulation of DNA damage response, signal transduction by p53 class mediator",M1,1,0
1,-3.7,M5382,GSE3982 MEMORY CD4 TCELL VS TH2 DN,M1,1,0
1,-2.9,M9334,VALK AML CLUSTER 11,M1,1,0
1,-4,GO:0043586,tongue development,M1,1,0
1,-2.6,M9206,YAMASHITA LIVER CANCER STEM CELL DN,M1,1,0
1,-9.5,GO:0032400,melanosome localization,M1,1,0
1,-5.8,WP22,IL-9 signaling pathway,M1,1,0
1,-12,hsa04810,Regulation of actin cytoskeleton,M1,1,0
1,-5.1,GO:0032108,negative regulation of response to nutrient levels,M1,1,0
1,-7.1,GO:0006954,inflammatory response,M1,1,0
1,-5.9,GO:1901381,positive regulation of potassium ion transmembrane transport,M1,1,0
1,-2.4,M7040,GSE15330 WT VS IKAROS KO HSC UP,M1,1,0
1,-4.5,GO:0051147,regulation of muscle cell differentiation,M1,1,0
1,-2.4,M385,GSE7219 WT VS NIK NFKB2 KO LPS AND ANTI CD40 STIM DC UP,M1,1,0
1,-5.7,GO:0043550,regulation of lipid kinase activity,M1,1,0
1,-2.5,M5397,GSE3982 EOSINOPHIL VS MAST CELL UP,M1,1,0
1,-3.3,GO:0002429,immune response-activating cell surface receptor signaling pathway,M1,1,0
1,-4.8,M182,PID IL3 PATHWAY,M1,1,0
1,-15,WP4216,Chromosomal and microsatellite instability in colorectal cancer,M1,1,0
1,-2.8,GO:0045346,regulation of MHC class II biosynthetic process,M1,1,0
1,-2.2,R-HSA-4641262,Disassembly of the destruction complex and recruitment of AXIN to the membrane,M1,1,0
1,-3.5,R-HSA-9020956,Interleukin-27 signaling,M1,1,0
1,-3.3,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,M1,1,0
1,-3,GO:0031330,negative regulation of cellular catabolic process,M1,1,0
1,-3,M9289,GSE36078 UNTREATED VS AD5 INF MOUSE LUNG DC UP,M1,1,0
1,-3,M4060,GSE17721 LPS VS GARDIQUIMOD 16H BMDC UP,M1,1,0
1,-20,WP706,Sudden infant death syndrome (SIDS) susceptibility pathways,M1,1,0
1,-2.9,WP3874,Canonical and non-canonical TGF-B signaling,M1,1,0
1,-3.9,GO:2000047,regulation of cell-cell adhesion mediated by cadherin,M1,1,0
1,-4.8,CORUM:178,"Respiratory chain complex I (holoenzyme), mitochondrial",M1,1,0
1,-5.5,GO:0002761,regulation of myeloid leukocyte differentiation,M1,1,0
1,-3,M3962,GSE17721 PAM3CSK4 VS GADIQUIMOD 1H BMDC UP,M1,1,0
1,-3.5,GO:0035112,genitalia morphogenesis,M1,1,0
1,-7.6,GO:0001223,transcription coactivator binding,M1,1,0
1,-7.2,M3456,FERNANDEZ BOUND BY MYC,M1,1,0
1,-10,GO:0005813,centrosome,M1,1,0
1,-6.3,GO:0098739,import across plasma membrane,M1,1,0
1,-6.6,GO:0030027,lamellipodium,M1,1,0
1,-4.7,GO:0060443,mammary gland morphogenesis,M1,1,0
1,-3.7,R-HSA-8948216,Collagen chain trimerization,M1,1,0
1,-2.7,M1967,MIKKELSEN IPS WITH HCP H3K27ME3,M1,1,0
1,-2.6,GO:0031065,positive regulation of histone deacetylation,M1,1,0
1,-5.3,GO:0044743,protein transmembrane import into intracellular organelle,M1,1,0
1,-3.5,GO:0045661,regulation of myoblast differentiation,M1,1,0
1,-3.4,GO:2000819,regulation of nucleotide-excision repair,M1,1,0
1,-7.6,R-HSA-109606,Intrinsic Pathway for Apoptosis,M1,1,0
1,-3,GO:0004402,histone acetyltransferase activity,M1,1,0
1,-3.1,GO:0002040,sprouting angiogenesis,M1,1,0
1,-33,hsa04933,AGE-RAGE signaling pathway in diabetic complications,M1,1,0
1,-10,GO:0043524,negative regulation of neuron apoptotic process,M1,1,0
1,-6.3,M1475,FLECHNER BIOPSY KIDNEY TRANSPLANT REJECTED VS OK DN,M1,1,0
1,-3,M5073,GSE32423 MEMORY VS NAIVE CD8 TCELL DN,M1,1,0
1,-5,WP3865,Novel intracellular components of RIG-I-like receptor pathway,M1,1,0
1,-4.4,M227,GRYDER PAX3FOXO1 ENHANCERS KO DOWN,M1,1,0
1,-2.4,M7334,GSE19888 CTRL VS T CELL MEMBRANES ACT MAST CELL DN,M1,1,0
1,-4.8,M36,PID IL27 PATHWAY,M1,1,0
1,-2.2,M2832,PDGF UP.V1 DN,M1,1,0
1,-5.5,GO:0045912,negative regulation of carbohydrate metabolic process,M1,1,0
1,-6.1,R-HSA-5576891,Cardiac conduction,M1,1,0
1,-2.4,M18806,TOOKER GEMCITABINE RESISTANCE DN,M1,1,0
1,-7.8,GO:0048146,positive regulation of fibroblast proliferation,M1,1,0
1,-11,GO:0006109,regulation of carbohydrate metabolic process,M1,1,0
1,-3,M6950,GSE7831 CPG VS INFLUENZA STIM PDC 1H UP,M1,1,0
1,-9.4,GO:0007162,negative regulation of cell adhesion,M1,1,0
1,-3.8,M11,PID PRL SIGNALING EVENTS PATHWAY,M1,1,0
1,-3.2,GO:0019395,fatty acid oxidation,M1,1,0
1,-5.2,GO:0071453,cellular response to oxygen levels,M1,1,0
1,-12,GO:0050954,sensory perception of mechanical stimulus,M1,1,0
1,-2.2,GO:0008637,apoptotic mitochondrial changes,M1,1,0
1,-6,GO:0007623,circadian rhythm,M1,1,0
1,-3.4,M283,OISHI CHOLANGIOMA STEM CELL LIKE UP,M1,1,0
1,-3.9,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,M1,1,0
1,-21,GO:0048589,developmental growth,M1,1,0
1,-3.3,GO:0010962,regulation of glucan biosynthetic process,M1,1,0
1,-11,R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,M1,1,0
1,-12,M151,PID AR TF PATHWAY,M1,1,0
1,-15,WP3651,Pathways affected in adenoid cystic carcinoma,M1,1,0
1,-6.2,R-HSA-186712,Regulation of beta-cell development,M1,1,0
1,-5,GO:0043062,extracellular structure organization,M1,1,0
1,-14,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-9.4,WP45,G1 to S cell cycle control,M1,1,0
1,-5.8,M255,PID HIF1 TFPATHWAY,M1,1,0
1,-6.9,GO:0060742,epithelial cell differentiation involved in prostate gland development,M1,1,0
1,-5.5,GO:1903578,regulation of ATP metabolic process,M1,1,0
1,-7,M290,PID IL12 STAT4 PATHWAY,M1,1,0
1,-3,GO:0002287,alpha-beta T cell activation involved in immune response,M1,1,0
1,-12,GO:0000075,cell cycle checkpoint signaling,M1,1,0
1,-5.5,M110,PID IL1 PATHWAY,M1,1,0
1,-4.8,GO:0016445,somatic diversification of immunoglobulins,M1,1,0
1,-3.1,GO:0005581,collagen trimer,M1,1,0
1,-3.7,M9815,AKL HTLV1 INFECTION DN,M1,1,0
1,-6.2,M1806,BOCHKIS FOXA2 TARGETS,M1,1,0
1,-18,WP395,IL-4 signaling pathway,M1,1,0
1,-2.4,M4811,GSE27786 BCELL VS ERYTHROBLAST DN,M1,1,0
1,-8.6,GO:0050905,neuromuscular process,M1,1,0
1,-3.5,M5536,TCGA GLIOBLASTOMA COPY NUMBER UP,M1,1,0
1,-12,GO:0098773,skin epidermis development,M1,1,0
1,-6.4,GO:1902807,negative regulation of cell cycle G1/S phase transition,M1,1,0
1,-3.8,M172,GRYDER PAX3FOXO1 TOP ENHANCERS,M1,1,0
1,-4.3,GO:1900034,regulation of cellular response to heat,M1,1,0
1,-5.5,GO:0001673,male germ cell nucleus,M1,1,0
1,-7.9,R-HSA-8940973,RUNX2 regulates osteoblast differentiation,M1,1,0
1,-9.9,M144,PID CERAMIDE PATHWAY,M1,1,0
1,-10,R-HSA-8853659,RET signaling,M1,1,0
1,-4,R-HSA-9675126,Diseases of mitotic cell cycle,M1,1,0
1,-7.6,GO:0008406,gonad development,M1,1,0
1,-3.1,M19261,YAGI AML WITH T 8 21 TRANSLOCATION,M1,1,0
1,-5,hsa05416,Viral myocarditis,M1,1,0
1,-8.2,M34,PID TCR PATHWAY,M1,1,0
1,-7.6,GO:0043525,positive regulation of neuron apoptotic process,M1,1,0
1,-3.4,GO:0000307,cyclin-dependent protein kinase holoenzyme complex,M1,1,0
1,-3.5,R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3,M1,1,0
1,-3,M339,GSE7596 AKT TRANSD VS CTRL CD4 TCONV WITH TGFB UP,M1,1,0
1,-12,R-HSA-2424491,DAP12 signaling,M1,1,0
1,-8.5,GO:0042579,microbody,M1,1,0
1,-5.8,M8200,GSE26488 WT VS VP16 TRANSGENIC HDAC7 KO DOUBLE POSITIVE THYMOCYTE UP,M1,1,0
1,-2.4,M8243,GSE27241 CTRL VS DIGOXIN TREATED CD4 TCELL IN TH17 POLARIZING CONDITIONS UP,M1,1,0
1,-5,R-HSA-1483255,PI Metabolism,M1,1,0
1,-2.5,GO:0043537,negative regulation of blood vessel endothelial cell migration,M1,1,0
1,-8.9,M123,MUELLER PLURINET,M1,1,0
1,-3.1,GO:0046434,organophosphate catabolic process,M1,1,0
1,-3.6,GO:0050839,cell adhesion molecule binding,M1,1,0
1,-8.4,GO:0051101,regulation of DNA binding,M1,1,0
1,-2.5,M8672,GSE34156 UNTREATED VS 6H TLR1 TLR2 LIGAND TREATED MONOCYTE UP,M1,1,0
1,-4.1,GO:0140115,export across plasma membrane,M1,1,0
1,-2.5,GO:0030864,cortical actin cytoskeleton,M1,1,0
1,-2.5,GO:0097060,synaptic membrane,M1,1,0
1,-2.7,GO:0032735,positive regulation of interleukin-12 production,M1,1,0
1,-6.1,GO:0007059,chromosome segregation,M1,1,0
1,-2.2,M2073,BAE BRCA1 TARGETS DN,M1,1,0
1,-7.2,GO:0008016,regulation of heart contraction,M1,1,0
1,-17,M276,PID FGF PATHWAY,M1,1,0
1,-6.7,GO:0035137,hindlimb morphogenesis,M1,1,0
1,-6.2,GO:1901655,cellular response to ketone,M1,1,0
1,-2.6,R-HSA-1980143,Signaling by NOTCH1,M1,1,0
1,-5.7,R-HSA-8878171,Transcriptional regulation by RUNX1,M1,1,0
1,-2.2,M269,PID RAS PATHWAY,M1,1,0
1,-4.6,GO:0051640,organelle localization,M1,1,0
1,-3.6,M1859,RHEIN ALL GLUCOCORTICOID THERAPY DN,M1,1,0
1,-5.1,GO:0004536,deoxyribonuclease activity,M1,1,0
1,-6.9,GO:0001216,DNA-binding transcription activator activity,M1,1,0
1,-2.2,GO:1900024,regulation of substrate adhesion-dependent cell spreading,M1,1,0
1,-2.9,GO:0060326,cell chemotaxis,M1,1,0
1,-4.3,GO:0065002,intracellular protein transmembrane transport,M1,1,0
1,-2.2,GO:0031256,leading edge membrane,M1,1,0
1,-6.2,GO:0090316,positive regulation of intracellular protein transport,M1,1,0
1,-2.8,GO:0007595,lactation,M1,1,0
1,-3,M8949,GSE37532 VISCERAL ADIPOSE TISSUE VS LN DERIVED PPARG KO TCONV CD4 TCELL UP,M1,1,0
1,-3.5,GO:0022898,regulation of transmembrane transporter activity,M1,1,0
1,-3.2,GO:0010718,positive regulation of epithelial to mesenchymal transition,M1,1,0
1,-4.4,GO:1903076,regulation of protein localization to plasma membrane,M1,1,0
1,-2.1,M1778,ZHANG GATA6 TARGETS DN,M1,1,0
1,-4.7,M7079,WONG EMBRYONIC STEM CELL CORE,M1,1,0
1,-2.8,R-HSA-6802952,Signaling by BRAF and RAF1 fusions,M1,1,0
1,-3.4,R-HSA-1428517,The citric acid (TCA) cycle and respiratory electron transport,M1,1,0
1,-2.1,M16932,CHIANG LIVER CANCER SUBCLASS PROLIFERATION DN,M1,1,0
1,-8.4,R-HSA-5654689,PI-3K cascade:FGFR1,M1,1,0
1,-2.7,hsa04922,Glucagon signaling pathway,M1,1,0
1,-8.6,GO:0006303,double-strand break repair via nonhomologous end joining,M1,1,0
1,-3.1,GO:0006119,oxidative phosphorylation,M1,1,0
1,-2.1,M9775,HAHTOLA MYCOSIS FUNGOIDES CD4 UP,M1,1,0
1,-2.7,GO:0045814,"negative regulation of gene expression, epigenetic",M1,1,0
1,-10,GO:0050817,coagulation,M1,1,0
1,-3.1,M270,PID MAPK TRK PATHWAY,M1,1,0
1,-9.7,hsa04910,Insulin signaling pathway,M1,1,0
1,-8.7,GO:0019207,kinase regulator activity,M1,1,0
1,-7.3,GO:0031571,mitotic G1 DNA damage checkpoint signaling,M1,1,0
1,-2.1,M4861,VERHAAK AML WITH NPM1 MUTATED UP,M1,1,0
1,-3.5,hsa05030,Cocaine addiction,M1,1,0
1,-2.3,M8890,GSE37301 MULTIPOTENT PROGENITOR VS COMMON LYMPHOID PROGENITOR UP,M1,1,0
1,-22,WP4685,Melanoma,M1,1,0
1,-4.4,WP4655,Cytosolic DNA-sensing pathway,M1,1,0
1,-2.2,GO:0140677,molecular function activator activity,M1,1,0
1,-2.3,M2446,PLASARI TGFB1 TARGETS 10HR DN,M1,1,0
1,-3.3,GO:0051149,positive regulation of muscle cell differentiation,M1,1,0
1,-3,M14344,DASU IL6 SIGNALING UP,M1,1,0
1,-2.5,GO:0046942,carboxylic acid transport,M1,1,0
1,-2.5,M1616,BURTON ADIPOGENESIS 7,M1,1,0
1,-5.8,GO:1900368,regulation of post-transcriptional gene silencing by RNA,M1,1,0
1,-6.1,GO:0032407,MutSalpha complex binding,M1,1,0
1,-2.3,GO:0031113,regulation of microtubule polymerization,M1,1,0
1,-2.7,R-HSA-9656223,Signaling by RAF1 mutants,M1,1,0
1,-4.1,R-HSA-6799198,Complex I biogenesis,M1,1,0
1,-2.4,M4482,GSE22886 NAIVE BCELL VS NEUTROPHIL DN,M1,1,0
1,-2.4,M6053,GSE2770 UNTREATED VS TGFB AND IL12 TREATED ACT CD4 TCELL 6H DN,M1,1,0
1,-8,GO:0048864,stem cell development,M1,1,0
1,-2.3,M1507,ZAMORA NOS2 TARGETS UP,M1,1,0
1,-3,M3629,GSE15930 STIM VS STIM AND IL12 48H CD8 T CELL UP,M1,1,0
1,-11,WP1539,Angiogenesis,M1,1,0
1,-4.3,M5354,FIRESTEIN PROLIFERATION,M1,1,0
1,-3.4,M2840,CHARAFE BREAST CANCER LUMINAL VS BASAL UP,M1,1,0
1,-2.6,R-HSA-9717189,Sensory perception of taste,M1,1,0
1,-3,M7858,GSE23505 UNTREATED VS 4DAY IL6 IL1 TREATED CD4 TCELL UP,M1,1,0
1,-4,GO:0007219,Notch signaling pathway,M1,1,0
1,-3.8,GO:0042775,mitochondrial ATP synthesis coupled electron transport,M1,1,0
1,-6,R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants,M1,1,0
1,-2,M4216,GSE17974 IL4 AND ANTI IL12 VS UNTREATED 6H ACT CD4 TCELL UP,M1,1,0
1,-8.3,GO:0070997,neuron death,M1,1,0
1,-4.2,R-HSA-8953750,Transcriptional Regulation by E2F6,M1,1,0
1,-12,GO:0000725,recombinational repair,M1,1,0
1,-4.4,GO:0050982,detection of mechanical stimulus,M1,1,0
1,-2.9,M17428,GAL LEUKEMIC STEM CELL UP,M1,1,0
1,-2.9,CORUM:1111,DNA synthesome complex (17 subunits),M1,1,0
1,-10,GO:0050867,positive regulation of cell activation,M1,1,0
1,-11,GO:1904035,regulation of epithelial cell apoptotic process,M1,1,0
1,-4.2,GO:0003179,heart valve morphogenesis,M1,1,0
1,-3,GO:0045296,cadherin binding,M1,1,0
1,-4.4,M5203,GSE360 L DONOVANI VS B MALAYI LOW DOSE DC UP,M1,1,0
1,-2.8,M1609,LEE CALORIE RESTRICTION NEOCORTEX DN,M1,1,0
1,-4.7,CORUM:5400,BRCC complex,M1,1,0
1,-2.4,M6943,GSE6674 PL2 3 VS ANTI IGM AND CPG STIM BCELL DN,M1,1,0
1,-3.7,M9080,GSE35685 CD34POS CD10NEG CD62LPOS VS CD34POS CD10POS BONE MARROW UP,M1,1,0
1,-2.5,M7885,GSE23925 LIGHT ZONE VS NAIVE BCELL UP,M1,1,0
1,-3.9,GO:0034705,potassium channel complex,M1,1,0
1,-2.2,GO:0001935,endothelial cell proliferation,M1,1,0
1,-3.3,GO:0002762,negative regulation of myeloid leukocyte differentiation,M1,1,0
1,-5.9,GO:0072163,mesonephric epithelium development,M1,1,0
1,-2.9,GO:0061983,meiosis II cell cycle process,M1,1,0
1,-2.4,M7049,GSE15330 LYMPHOID MULTIPOTENT VS GRANULOCYTE MONOCYTE PROGENITOR IKAROS KO DN,M1,1,0
1,-3.5,GO:0051403,stress-activated MAPK cascade,M1,1,0
1,-5.9,GO:1905330,regulation of morphogenesis of an epithelium,M1,1,0
1,-3.2,M737,LIEN BREAST CARCINOMA METAPLASTIC VS DUCTAL DN,M1,1,0
1,-2.8,M2639,GCNP SHH UP EARLY.V1 UP,M1,1,0
1,-5.7,GO:0072091,regulation of stem cell proliferation,M1,1,0
1,-2.7,M14573,BENPORATH NOS TARGETS,M1,1,0
1,-3.5,GO:0021895,cerebral cortex neuron differentiation,M1,1,0
1,-6.4,GO:0005249,voltage-gated potassium channel activity,M1,1,0
1,-2.6,GO:0051972,regulation of telomerase activity,M1,1,0
1,-3.7,GO:0009615,response to virus,M1,1,0
1,-3.1,GO:0098661,inorganic anion transmembrane transport,M1,1,0
1,-3.5,M16845,MYLLYKANGAS AMPLIFICATION HOT SPOT 12,M1,1,0
1,-2.2,R-HSA-4090294,SUMOylation of intracellular receptors,M1,1,0
1,-2,M2758,PTEN DN.V2 DN,M1,1,0
1,-3.9,R-HSA-9013420,RHOU GTPase cycle,M1,1,0
1,-2.6,GO:2000178,negative regulation of neural precursor cell proliferation,M1,1,0
1,-2.3,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),M1,1,0
1,-3.3,M10236,BORCZUK MALIGNANT MESOTHELIOMA UP,M1,1,0
1,-3.2,M7952,GALLUZZI PREVENT MITOCHONDIAL PERMEABILIZATION,M1,1,0
1,-5.5,GO:0007276,gamete generation,M1,1,0
1,-4.3,M251,PID SYNDECAN 3 PATHWAY,M1,1,0
1,-3,M6453,GSE3039 B2 VS B1 BCELL DN,M1,1,0
1,-3,M1466,AFFAR YY1 TARGETS UP,M1,1,0
1,-2.3,R-HSA-5620971,Pyroptosis,M1,1,0
1,-3,M5565,GSE3982 BASOPHIL VS TH1 DN,M1,1,0
1,-3.8,GO:0003401,axis elongation,M1,1,0
1,-3,M8614,GSE32986 UNSTIM VS CURDLAN HIGHDOSE STIM DC UP,M1,1,0
1,-11,GO:0010389,regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-6.8,M863,LEI MYB TARGETS,M1,1,0
1,-20,R-HSA-8953897,Cellular responses to stimuli,M1,1,0
1,-2,GO:0031112,positive regulation of microtubule polymerization or depolymerization,M1,1,0
1,-3,GO:0016032,viral process,M1,1,0
1,-2.4,M3865,GSE17721 PAM3CSK4 VS CPG 8H BMDC UP,M1,1,0
1,-3,GO:0032838,plasma membrane bounded cell projection cytoplasm,M1,1,0
1,-5.1,M5567,GSE3982 BASOPHIL VS TH2 DN,M1,1,0
1,-4,GO:1903764,regulation of potassium ion export across plasma membrane,M1,1,0
1,-10,R-HSA-975155,MyD88 dependent cascade initiated on endosome,M1,1,0
1,-3.5,M13283,HSIAO LIVER SPECIFIC GENES,M1,1,0
1,-2.2,M10914,STARK PREFRONTAL CORTEX 22Q11 DELETION DN,M1,1,0
1,-3.2,R-HSA-399955,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,M1,1,0
1,-2.2,GO:0030018,Z disc,M1,1,0
1,-4.1,M13220,OUELLET CULTURED OVARIAN CANCER INVASIVE VS LMP DN,M1,1,0
1,-6.4,GO:0030168,platelet activation,M1,1,0
1,-18,hsa05169,Epstein-Barr virus infection,M1,1,0
1,-9.4,M271,PID PI3K PLC TRK PATHWAY,M1,1,0
1,-16,WP2018,RANKL/RANK signaling pathway,M1,1,0
1,-4.4,M9696,GSE43955 10H VS 30H ACT CD4 TCELL WITH TGFB IL6 UP,M1,1,0
1,-4.9,GO:0010591,regulation of lamellipodium assembly,M1,1,0
1,-11,GO:0001942,hair follicle development,M1,1,0
1,-2.4,M12135,MARTORIATI MDM4 TARGETS NEUROEPITHELIUM DN,M1,1,0
1,-6.4,GO:0002690,positive regulation of leukocyte chemotaxis,M1,1,0
1,-11,GO:0051905,establishment of pigment granule localization,M1,1,0
1,-3.6,GO:0030336,negative regulation of cell migration,M1,1,0
1,-3.6,GO:0004715,non-membrane spanning protein tyrosine kinase activity,M1,1,0
1,-17,WP3932,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,M1,1,0
1,-3.8,GO:0046578,regulation of Ras protein signal transduction,M1,1,0
1,-3.7,M4592,JEON SMAD6 TARGETS UP,M1,1,0
1,-4.1,M15975,LIEN BREAST CARCINOMA METAPLASTIC VS DUCTAL UP,M1,1,0
1,-2.5,M8960,GSE37532 TREG VS TCONV PPARG KO CD4 TCELL FROM LN DN,M1,1,0
1,-4.3,GO:0009259,ribonucleotide metabolic process,M1,1,0
1,-7.3,GO:0071383,cellular response to steroid hormone stimulus,M1,1,0
1,-3,R-HSA-9679506,SARS-CoV Infections,M1,1,0
1,-8.2,GO:0001952,regulation of cell-matrix adhesion,M1,1,0
1,-3.4,GO:0031365,N-terminal protein amino acid modification,M1,1,0
1,-6.2,GO:0044389,ubiquitin-like protein ligase binding,M1,1,0
1,-7.6,R-HSA-9658195,Leishmania infection,M1,1,0
1,-12,GO:0048015,phosphatidylinositol-mediated signaling,M1,1,0
1,-27,GO:0002520,immune system development,M1,1,0
1,-5,WP5200,Dravet syndrome,M1,1,0
1,-5.8,GO:0031252,cell leading edge,M1,1,0
1,-7,GO:0005657,replication fork,M1,1,0
1,-3,M4080,GSE17721 0.5H VS 24H LPS BMDC DN,M1,1,0
1,-2.4,M5167,GSE360 CTRL VS B MALAYI HIGH DOSE MAC DN,M1,1,0
1,-9.9,GO:0051219,phosphoprotein binding,M1,1,0
1,-7.3,R-HSA-5655253,Signaling by FGFR2 in disease,M1,1,0
1,-4.7,GO:0016004,phospholipase activator activity,M1,1,0
1,-9.7,GO:0007031,peroxisome organization,M1,1,0
1,-4.7,GO:0031594,neuromuscular junction,M1,1,0
1,-3.2,GO:0001741,XY body,M1,1,0
1,-3.8,GO:0051893,regulation of focal adhesion assembly,M1,1,0
1,-3.1,GO:0001776,leukocyte homeostasis,M1,1,0
1,-2.4,M4633,GSE24634 IL4 VS CTRL TREATED NAIVE CD4 TCELL DAY5 UP,M1,1,0
1,-8.6,GO:0000723,telomere maintenance,M1,1,0
1,-10,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-12,GO:0120031,plasma membrane bounded cell projection assembly,M1,1,0
1,-14,R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),M1,1,0
1,-16,R-HSA-74751,Insulin receptor signalling cascade,M1,1,0
1,-7.4,M1587,YIH RESPONSE TO ARSENITE C4,M1,1,0
1,-7.3,R-HSA-9018519,Estrogen-dependent gene expression,M1,1,0
1,-2.6,M2863,KRAS.DF.V1 UP,M1,1,0
1,-2.8,GO:0018107,peptidyl-threonine phosphorylation,M1,1,0
1,-8.7,GO:0051348,negative regulation of transferase activity,M1,1,0
1,-6.6,GO:0051091,positive regulation of DNA-binding transcription factor activity,M1,1,0
1,-2.8,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,M1,1,0
1,-6.6,GO:0030162,regulation of proteolysis,M1,1,0
1,-3.1,M6677,GSE5589 WT VS IL10 KO LPS AND IL10 STIM MACROPHAGE 180MIN DN,M1,1,0
1,-6.4,M17200,SA B CELL RECEPTOR COMPLEXES,M1,1,0
1,-4.4,M9846,GSE46606 IRF4HIGH VS IRF4MID CD40L IL2 IL5 DAY3 STIMULATED BCELL DN,M1,1,0
1,-3.8,M1432,SANSOM APC TARGETS DN,M1,1,0
1,-25,hsa04932,Non-alcoholic fatty liver disease,M1,1,0
1,-2.6,M106,PID HNF3B PATHWAY,M1,1,0
1,-8.4,GO:0015267,channel activity,M1,1,0
1,-2.4,GO:0090023,positive regulation of neutrophil chemotaxis,M1,1,0
1,-3,M3394,GSE14308 NAIVE CD4 TCELL VS NATURAL TREG DN,M1,1,0
1,-7.4,GO:0048660,regulation of smooth muscle cell proliferation,M1,1,0
1,-5.6,GO:0051540,metal cluster binding,M1,1,0
1,-5.4,M2605,ONKEN UVEAL MELANOMA DN,M1,1,0
1,-2,M10292,HONMA DOCETAXEL RESISTANCE,M1,1,0
1,-3.6,M32,PID HDAC CLASSIII PATHWAY,M1,1,0
1,-4.4,M6606,GSE5589 UNSTIM VS 45MIN LPS AND IL6 STIM MACROPHAGE UP,M1,1,0
1,-2.5,M5182,GSE360 DC VS MAC L MAJOR DN,M1,1,0
1,-5.5,GO:0003678,DNA helicase activity,M1,1,0
1,-12,M142,PID AJDISS 2PATHWAY,M1,1,0
1,-3.2,GO:0002931,response to ischemia,M1,1,0
1,-2.4,M14614,SAKAI TUMOR INFILTRATING MONOCYTES UP,M1,1,0
1,-4.3,R-HSA-418990,Adherens junctions interactions,M1,1,0
1,-23,GO:0009314,response to radiation,M1,1,0
1,-4.5,M1286,HOSHIDA LIVER CANCER SUBCLASS S3,M1,1,0
1,-2.2,GO:0016878,acid-thiol ligase activity,M1,1,0
1,-2.6,GO:0046823,negative regulation of nucleocytoplasmic transport,M1,1,0
1,-6.8,GO:0035094,response to nicotine,M1,1,0
1,-8.2,WP5124,Alzheimer's disease,M1,1,0
1,-5.8,GO:0048009,insulin-like growth factor receptor signaling pathway,M1,1,0
1,-3.6,M9788,MOOTHA PGC,M1,1,0
1,-4,WP623,Oxidative phosphorylation,M1,1,0
1,-3,M4668,GSE26669 CD4 VS CD8 TCELL IN MLR UP,M1,1,0
1,-4.5,M201,PID ERBB NETWORK PATHWAY,M1,1,0
1,-2.4,M386,GSE7219 WT VS NIK NFKB2 KO LPS AND ANTI CD40 STIM DC DN,M1,1,0
1,-12,hsa05152,Tuberculosis,M1,1,0
1,-7.5,R-HSA-195258,RHO GTPase Effectors,M1,1,0
1,-4.8,GO:0022834,ligand-gated channel activity,M1,1,0
1,-9.2,GO:0002065,columnar/cuboidal epithelial cell differentiation,M1,1,0
1,-3.4,GO:0005165,neurotrophin receptor binding,M1,1,0
1,-2.2,GO:1903670,regulation of sprouting angiogenesis,M1,1,0
