Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Immunologic Signatures,3,M5156,GSE360 CTRL VS M TUBERCULOSIS DC DN,,-6.6,5.6,7.4,30169,200,374,14,3.7,0.98,269|675|950|999|1290|1890|2212|2263|2811|3766|6774|6892|7422|23363,AMHR2|BRCA2|SCARB2|CDH1|COL5A2|TYMP|FCGR2A|FGFR2|GP1BA|KCNJ10|STAT3|TAPBP|VEGFA|OBSL1,-5.2,MyList
Immunologic Signatures,3,M9410,GSE39556 UNTREATED VS 3H POLYIC INJ MOUSE NK CELL UP,,-6.6,5.6,7.4,30169,200,374,14,3.7,0.98,323|580|585|641|672|701|1017|3667|5594|5828|6240|8546|10468|11200,APBB2|BARD1|BBS4|BLM|BRCA1|BUB1B|CDK2|IRS1|MAPK1|PEX2|RRM1|AP3B1|FST|CHEK2,-5.2,MyList
Immunologic Signatures,3,M9419,GSE39556 CD8A DC VS NK CELL MOUSE 3H POST POLYIC INJ UP,,-6.6,5.6,7.4,30169,200,374,14,3.7,0.98,580|641|672|701|1017|3251|5426|5932|6240|7153|8503|8546|10535|11200,BARD1|BLM|BRCA1|BUB1B|CDK2|HPRT1|POLE|RBBP8|RRM1|TOP2A|PIK3R3|AP3B1|RNASEH2A|CHEK2,-5.2,MyList
Immunologic Signatures,3,M8389,GSE29949 MICROGLIA BRAIN VS MONOCYTE BONE MARROW DN,,-6.6,5.6,7.4,30169,200,374,14,3.7,0.98,472|1130|1387|3569|3659|3717|4724|5925|5932|6416|8503|8504|9663|23054,ATM|LYST|CREBBP|IL6|IRF1|JAK2|NDUFS4|RB1|RBBP8|MAP2K4|PIK3R3|PEX3|LPIN2|NCOA6,-5.2,MyList
GO Cellular Components,20,GO:0035869,ciliary transition zone,,-6.6,10,8.7,30169,71,374,9,2.4,0.79,585|4647|9657|23322|27241|54903|57545|91147|124590,BBS4|MYO7A|IQCB1|RPGRIP1L|BBS9|MKS1|CC2D2A|TMEM67|USH1G,-5.2,MyList
Chemical And Genetic Perturbations,13,M3955,GU PDEF TARGETS UP,,-6.6,10,8.7,30169,71,374,9,2.4,0.79,1000|1287|1290|5054|5335|5880|5881|7040|7422,CDH2|COL4A5|COL5A2|SERPINE1|PLCG1|RAC2|RAC3|TGFB1|VEGFA,-5.2,MyList
GO Biological Processes,19,GO:0051703,biological process involved in intraspecies interaction between organisms,19_GO:0051703 biological process involved in intraspecies interaction between organisms,-6.6,12,9.2,30169,52,374,8,2.1,0.75,551|585|3784|4204|5728|6899|7054|8195,AVP|BBS4|KCNQ1|MECP2|PTEN|TBX1|TH|MKKS,-5.2,MyList
GO Biological Processes,19,GO:0035176,social behavior,19_GO:0051703 biological process involved in intraspecies interaction between organisms,-6.6,12,9.2,30169,52,374,8,2.1,0.75,551|585|3784|4204|5728|6899|7054|8195,AVP|BBS4|KCNQ1|MECP2|PTEN|TBX1|TH|MKKS,-5.2,MyList
GO Molecular Functions,21,GO:0031625,ubiquitin protein ligase binding,,-6.6,4.6,7,30169,299,374,17,4.5,1.1,596|672|841|1956|2065|3725|3757|4281|5925|5970|6125|7157|7466|8405|9025|11200|23111,BCL2|BRCA1|CASP8|EGFR|ERBB3|JUN|KCNH2|MID1|RB1|RELA|RPL5|TP53|WFS1|SPOP|RNF8|CHEK2|SPART,-5.2,MyList
Chemical And Genetic Perturbations,13,M2368,GOBERT OLIGODENDROCYTE DIFFERENTIATION UP,,-6.6,3.4,6.5,30169,571,374,24,6.4,1.3,641|675|701|1017|1029|1663|2065|4361|5395|5426|5888|6117|6240|6949|7153|7515|8086|8812|9663|11200|51574|79728|157570|219844,BLM|BRCA2|BUB1B|CDK2|CDKN2A|DDX11|ERBB3|MRE11|PMS2|POLE|RAD51|RPA1|RRM1|TCOF1|TOP2A|XRCC1|AAAS|CCNK|LPIN2|CHEK2|LARP7|PALB2|ESCO2|HYLS1,-5.1,MyList
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-6.6,3.8,6.6,30169,449,374,21,5.6,1.2,207|472|1432|1499|2064|2200|2534|3146|3630|3659|4179|4763|4982|5295|5335|5728|6714|7040|10225|11005|11277,AKT1|ATM|MAPK14|CTNNB1|ERBB2|FBN1|FYN|HMGB1|INS|IRF1|CD46|NF1|TNFRSF11B|PIK3R1|PLCG1|PTEN|SRC|TGFB1|CD96|SPINK5|TREX1,-5.1,MyList
Chemical And Genetic Perturbations,13,M8702,DAZARD RESPONSE TO UV NHEK DN,,-6.6,4.6,7,30169,300,374,17,4.5,1.1,25|701|841|1027|1387|2065|2263|2534|3667|4204|4790|7153|8036|8405|8864|10664|51574,ABL1|BUB1B|CASP8|CDKN1B|CREBBP|ERBB3|FGFR2|FYN|IRS1|MECP2|NFKB1|TOP2A|SHOC2|SPOP|PER2|CTCF|LARP7,-5.1,MyList
Chemical And Genetic Perturbations,13,M13273,DELYS THYROID CANCER DN,,-6.6,5.2,7.2,30169,233,374,15,4,1,596|1187|1188|1908|2263|2353|3667|3725|4256|4982|5172|6567|6640|7466|10166,BCL2|CLCNKA|CLCNKB|EDN3|FGFR2|FOS|IRS1|JUN|MGP|TNFRSF11B|SLC26A4|SLC16A2|SNTA1|WFS1|SLC25A15,-5.1,MyList
GO Biological Processes,19,GO:0051091,positive regulation of DNA-binding transcription factor activity,19_GO:0008152 metabolic process,-6.6,4.9,7.1,30169,266,374,16,4.3,1,207|268|367|1499|2033|2099|3169|3569|3630|3717|5728|5970|6598|6774|7422|51360,AKT1|AMH|AR|CTNNB1|EP300|ESR1|FOXA1|IL6|INS|JAK2|PTEN|RELA|SMARCB1|STAT3|VEGFA|MBTPS2,-5.1,MyList
GO Biological Processes,19,GO:0030111,regulation of Wnt signaling pathway,19_GO:0023052 signaling,-6.6,4.3,6.9,30169,336,374,18,4.8,1.1,25|1000|1432|1499|1950|1956|2263|4038|4790|4851|5518|6663|6714|7040|10413|25937|54894|54903,ABL1|CDH2|MAPK14|CTNNB1|EGF|EGFR|FGFR2|LRP4|NFKB1|NOTCH1|PPP2R1A|SOX10|SRC|TGFB1|YAP1|WWTR1|RNF43|MKS1,-5.1,MyList
Canonical Pathways,11,M1315,SIG PIP3 SIGNALING IN B LYMPHOCYTES,,-6.6,16,9.9,30169,36,374,7,1.9,0.7,207|1029|5170|5290|5308|5728|10000,AKT1|CDKN2A|PDPK1|PIK3CA|PITX2|PTEN|AKT3,-5.1,MyList
Chemical And Genetic Perturbations,13,M4389,RIZ ERYTHROID DIFFERENTIATION 12HR,,-6.6,16,9.9,30169,36,374,7,1.9,0.7,367|2099|2353|3725|4692|4851|170302,AR|ESR1|FOS|JUN|NDN|NOTCH1|ARX,-5.1,MyList
Chemical And Genetic Perturbations,13,M18299,YANG BREAST CANCER ESR1 UP,,-6.6,16,9.9,30169,36,374,7,1.9,0.7,323|585|2099|2625|7466|8821|79083,APBB2|BBS4|ESR1|GATA3|WFS1|INPP4B|MLPH,-5.1,MyList
GO Biological Processes,19,GO:1905332,positive regulation of morphogenesis of an epithelium,19_GO:0032502 developmental process,-6.6,16,9.9,30169,36,374,7,1.9,0.7,25|367|1499|1950|2625|2668|7422,ABL1|AR|CTNNB1|EGF|GATA3|GDNF|VEGFA,-5.1,MyList
GO Biological Processes,19,GO:0060538,skeletal muscle organ development,19_GO:0032502 developmental process,-6.6,6.7,7.7,30169,144,374,12,3.2,0.91,596|1144|1432|2033|2317|2353|3845|4763|4851|4868|5925|7504,BCL2|CHRND|MAPK14|EP300|FLNB|FOS|KRAS|NF1|NOTCH1|NPHS1|RB1|XK,-5.1,MyList
GO Biological Processes,19,GO:0050921,positive regulation of chemotaxis,19_GO:0040011 locomotion,-6.6,6.7,7.7,30169,144,374,12,3.2,0.91,1908|2260|3146|3569|3576|5054|5594|5879|5880|7040|7422|196527,EDN3|FGFR1|HMGB1|IL6|CXCL8|SERPINE1|MAPK1|RAC1|RAC2|TGFB1|VEGFA|ANO6,-5.1,MyList
GO Biological Processes,19,GO:0022408,negative regulation of cell-cell adhesion,19_GO:0048519 negative regulation of biological process,-6.6,5.6,7.3,30169,202,374,14,3.7,0.98,25|207|999|2064|3146|3659|3717|4072|4771|4851|5465|5728|7040|7422,ABL1|AKT1|CDH1|ERBB2|HMGB1|IRF1|JAK2|EPCAM|NF2|NOTCH1|PPARA|PTEN|TGFB1|VEGFA,-5.1,MyList
Chemical And Genetic Perturbations,13,M1831,MATZUK SPERMATOCYTE,,-6.6,10,8.6,30169,72,374,9,2.4,0.79,472|596|675|701|1017|2067|4292|5395|5889,ATM|BCL2|BRCA2|BUB1B|CDK2|ERCC1|MLH1|PMS2|RAD51C,-5.1,MyList
Reactome Gene Sets,6,R-HSA-448424,Interleukin-17 signaling,,-6.6,10,8.6,30169,72,374,9,2.4,0.79,1432|2353|3725|4790|5518|5528|5594|5599|6416,MAPK14|FOS|JUN|NFKB1|PPP2R1A|PPP2R5D|MAPK1|MAPK8|MAP2K4,-5.1,MyList
GO Biological Processes,19,GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway,19_GO:0023052 signaling,-6.6,10,8.6,30169,72,374,9,2.4,0.79,367|672|2033|3169|5469|6714|9611|10413|10498,AR|BRCA1|EP300|FOXA1|MED1|SRC|NCOR1|YAP1|CARM1,-5.1,MyList
GO Biological Processes,19,GO:0014033,neural crest cell differentiation,19_GO:0032502 developmental process,-6.6,8.6,8.2,30169,94,374,10,2.7,0.83,998|1000|1908|2303|2668|5308|5594|6663|6899|6949,CDC42|CDH2|EDN3|FOXC2|GDNF|PITX2|MAPK1|SOX10|TBX1|TCOF1,-5.1,MyList
KEGG Pathway,24,hsa04657,IL-17 signaling pathway,,-6.6,8.6,8.2,30169,94,374,10,2.7,0.83,841|1432|2353|3569|3576|3725|4790|5594|5599|5970,CASP8|MAPK14|FOS|IL6|CXCL8|JUN|NFKB1|MAPK1|MAPK8|RELA,-5.1,MyList
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-6.6,3.4,6.4,30169,574,374,24,6.4,1.3,25|596|1387|2033|2534|2625|3075|3146|3569|3717|3932|4179|4292|5290|5335|5469|5594|5970|6714|6891|7040|10084|11277|23529,ABL1|BCL2|CREBBP|EP300|FYN|GATA3|CFH|HMGB1|IL6|JAK2|LCK|CD46|MLH1|PIK3CA|PLCG1|MED1|MAPK1|RELA|SRC|TAP2|TGFB1|PQBP1|TREX1|CLCF1,-5.1,MyList
GO Cellular Components,20,GO:0030027,lamellipodium,,-6.6,5.6,7.3,30169,203,374,14,3.7,0.98,207|323|999|1000|1499|2245|4771|4810|5290|5335|5879|5880|5881|7401,AKT1|APBB2|CDH1|CDH2|CTNNB1|FGD1|NF2|NHS|PIK3CA|PLCG1|RAC1|RAC2|RAC3|CLRN1,-5.1,MyList
GO Biological Processes,19,GO:0030162,regulation of proteolysis,19_GO:0008152 metabolic process,-6.6,3,6.2,30169,750,374,28,7.5,1.4,207|551|841|1017|1075|1950|2534|3146|3630|3717|3730|3932|5054|5447|5728|6125|6714|6774|7157|7422|8405|9992|11005|23400|55212|64065|91662|147372,AKT1|AVP|CASP8|CDK2|CTSC|EGF|FYN|HMGB1|INS|JAK2|ANOS1|LCK|SERPINE1|POR|PTEN|RPL5|SRC|STAT3|TP53|VEGFA|SPOP|KCNE2|SPINK5|ATP13A2|BBS7|PERP|NLRP12|CCBE1,-5.1,MyList
Reactome Gene Sets,6,R-HSA-1660499,Synthesis of PIPs at the plasma membrane,,-6.5,12,9.1,30169,53,374,8,2.1,0.75,5290|5291|5295|5296|5728|8503|8821|23396,PIK3CA|PIK3CB|PIK3R1|PIK3R2|PTEN|PIK3R3|INPP4B|PIP5K1C,-5.1,MyList
Chemical And Genetic Perturbations,13,M1810,DAZARD UV RESPONSE CLUSTER G6,,-6.5,6.7,7.7,30169,145,374,12,3.2,0.91,25|701|841|2263|2534|3667|4204|4790|7153|8036|8405|51574,ABL1|BUB1B|CASP8|FGFR2|FYN|IRS1|MECP2|NFKB1|TOP2A|SHOC2|SPOP|LARP7,-5.1,MyList
Reactome Gene Sets,6,R-HSA-5654693,FRS-mediated FGFR1 signaling,,-6.5,21,11,30169,23,374,6,1.6,0.65,2248|2249|2260|2885|3845|5781,FGF3|FGF4|FGFR1|GRB2|KRAS|PTPN11,-5.1,MyList
GO Biological Processes,19,GO:0060965,negative regulation of miRNA-mediated gene silencing,19_GO:0048519 negative regulation of biological process,-6.5,21,11,30169,23,374,6,1.6,0.65,2099|3569|6774|7040|7157|9611,ESR1|IL6|STAT3|TGFB1|TP53|NCOR1,-5.1,MyList
GO Biological Processes,19,GO:0030318,melanocyte differentiation,19_GO:0043473 pigmentation,-6.5,21,11,30169,23,374,6,1.6,0.65,596|1908|5873|6663|79803|89781,BCL2|EDN3|RAB27A|SOX10|HPS6|HPS4,-5.1,MyList
GO Biological Processes,19,GO:0097186,amelogenesis,19_GO:0032502 developmental process,-6.5,21,11,30169,23,374,6,1.6,0.65,5465|5818|6899|26504|56975|64065,PPARA|NECTIN1|TBX1|CNNM4|FAM20C|PERP,-5.1,MyList
GO Biological Processes,19,GO:0003002,regionalization,19_GO:0032502 developmental process,-6.5,4.3,6.8,30169,339,374,18,4.8,1.1,429|472|1499|2033|2263|2290|2303|3169|4010|4038|4851|4853|5308|6899|7157|23322|79728|200894,ASCL1|ATM|CTNNB1|EP300|FGFR2|FOXG1|FOXC2|FOXA1|LMX1B|LRP4|NOTCH1|NOTCH2|PITX2|TBX1|TP53|RPGRIP1L|PALB2|ARL13B,-5.1,MyList
GO Biological Processes,19,GO:0045216,cell-cell junction organization,19_GO:0009987 cellular process,-6.5,6,7.5,30169,174,374,13,3.5,0.95,998|999|1000|1499|2706|4771|4868|5317|5818|6714|7040|23396|64065,CDC42|CDH1|CDH2|CTNNB1|GJB2|NF2|NPHS1|PKP1|NECTIN1|SRC|TGFB1|PIP5K1C|PERP,-5.1,MyList
GO Biological Processes,19,GO:0061515,myeloid cell development,19_GO:0002376 immune system process,-6.5,9.9,8.6,30169,73,374,9,2.4,0.79,2033|2068|2811|2812|2815|5469|5781|6714|56975,EP300|ERCC2|GP1BA|GP1BB|GP9|MED1|PTPN11|SRC|FAM20C,-5.1,MyList
GO Biological Processes,19,GO:0050768,negative regulation of neurogenesis,19_GO:0032502 developmental process,-6.5,6.6,7.6,30169,146,374,12,3.2,0.91,999|1499|3569|4038|4763|4771|4851|5728|5925|6663|7157|23111,CDH1|CTNNB1|IL6|LRP4|NF1|NF2|NOTCH1|PTEN|RB1|SOX10|TP53|SPART,-5.1,MyList
WikiPathways,27,WP5269,Genetic causes of porto-sinusoidal vascular disease,,-6.5,15,9.7,30169,37,374,7,1.9,0.7,998|1716|2099|4790|4851|5594|5879,CDC42|DGUOK|ESR1|NFKB1|NOTCH1|MAPK1|RAC1,-5,MyList
GO Biological Processes,19,GO:1902745,positive regulation of lamellipodium organization,19_GO:0048518 positive regulation of biological process,-6.5,15,9.7,30169,37,374,7,1.9,0.7,998|5290|5295|5879|5880|6714|7401,CDC42|PIK3CA|PIK3R1|RAC1|RAC2|SRC|CLRN1,-5,MyList
Canonical Pathways,11,M65,PID FRA PATHWAY,,-6.5,15,9.7,30169,37,374,7,1.9,0.7,595|1029|2033|3569|3576|3725|4256,CCND1|CDKN2A|EP300|IL6|CXCL8|JUN|MGP,-5,MyList
Canonical Pathways,11,M196,PID IL23 PATHWAY,,-6.5,15,9.7,30169,37,374,7,1.9,0.7,3569|3717|4790|5290|5295|5970|6774,IL6|JAK2|NFKB1|PIK3CA|PIK3R1|RELA|STAT3,-5,MyList
GO Biological Processes,19,GO:0046326,positive regulation of glucose import,19_GO:0051179 localization,-6.5,15,9.7,30169,37,374,7,1.9,0.7,207|1432|3479|3630|3667|5295|5781,AKT1|MAPK14|IGF1|INS|IRS1|PIK3R1|PTPN11,-5,MyList
WikiPathways,27,WP4331,Neovascularisation processes,,-6.5,15,9.7,30169,37,374,7,1.9,0.7,207|4790|4851|5594|5599|5970|7040,AKT1|NFKB1|NOTCH1|MAPK1|MAPK8|RELA|TGFB1,-5,MyList
GO Biological Processes,19,GO:0055082,cellular chemical homeostasis,19_GO:0065007 biological regulation,-6.5,3.5,6.4,30169,537,374,23,6.1,1.2,540|551|596|1908|2512|3759|3784|3932|5290|5291|5295|5296|5594|6338|6340|7021|7054|7466|7504|8546|10008|23400|91252,ATP7B|AVP|BCL2|EDN3|FTL|KCNJ2|KCNQ1|LCK|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|SCNN1B|SCNN1G|TFAP2B|TH|WFS1|XK|AP3B1|KCNE3|ATP13A2|SLC39A13,-5,MyList
GO Biological Processes,19,GO:0030857,negative regulation of epithelial cell differentiation,19_GO:0032502 developmental process,-6.5,12,9,30169,54,374,8,2.1,0.75,595|1499|3845|4851|7422|10413|10468|161742,CCND1|CTNNB1|KRAS|NOTCH1|VEGFA|YAP1|FST|SPRED1,-5,MyList
GO Biological Processes,19,GO:0072657,protein localization to membrane,19_GO:0051179 localization,-6.5,3.7,6.5,30169,456,374,21,5.6,1.2,582|583|617|783|999|1000|1956|4038|4593|5824|5913|8504|8546|9409|22930|25782|55800|64374|79803|200894|285590,BBS1|BBS2|BCS1L|CACNB2|CDH1|CDH2|EGFR|LRP4|MUSK|PEX19|RAPSN|PEX3|AP3B1|PEX16|RAB3GAP1|RAB3GAP2|SCN3B|SIL1|HPS6|ARL13B|SH3PXD2B,-5,MyList
GO Biological Processes,19,GO:0045598,regulation of fat cell differentiation,19_GO:0032502 developmental process,-6.5,6.6,7.6,30169,147,374,12,3.2,0.91,207|240|1432|2625|3569|3630|6648|7040|10413|10498|25937|166379,AKT1|ALOX5|MAPK14|GATA3|IL6|INS|SOD2|TGFB1|YAP1|CARM1|WWTR1|BBS12,-5,MyList
GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-6.5,3.2,6.3,30169,623,374,25,6.7,1.3,240|551|783|1908|1950|2065|2668|2746|3479|3569|3630|3667|3717|3784|4763|4851|5170|5781|5873|5880|7021|7040|8864|22930|23400,ALOX5|AVP|CACNB2|EDN3|EGF|ERBB3|GDNF|GLUD1|IGF1|IL6|INS|IRS1|JAK2|KCNQ1|NF1|NOTCH1|PDPK1|PTPN11|RAB27A|RAC2|TFAP2B|TGFB1|PER2|RAB3GAP1|ATP13A2,-5,MyList
GO Biological Processes,19,GO:0010960,magnesium ion homeostasis,19_GO:0065007 biological regulation,-6.5,31,12,30169,13,374,5,1.3,0.59,1908|3736|7021|7504|26504,EDN3|KCNA1|TFAP2B|XK|CNNM4,-5,MyList
CORUM,33,CORUM:244,BRAFT complex,,-6.5,31,12,30169,13,374,5,1.3,0.59,641|4292|6117|6119|7156,BLM|MLH1|RPA1|RPA3|TOP3A,-5,MyList
GO Molecular Functions,21,GO:0043560,insulin receptor substrate binding,,-6.5,31,12,30169,13,374,5,1.3,0.59,2885|3717|5290|5291|5295,GRB2|JAK2|PIK3CA|PIK3CB|PIK3R1,-5,MyList
Canonical Pathways,11,M3686,SA REG CASCADE OF CYCLIN EXPR,,-6.5,31,12,30169,13,374,5,1.3,0.59,595|1017|1019|1027|1029,CCND1|CDK2|CDK4|CDKN1B|CDKN2A,-5,MyList
GO Biological Processes,19,GO:0098915,membrane repolarization during ventricular cardiac muscle cell action potential,19_GO:0032501 multicellular organismal process,-6.5,31,12,30169,13,374,5,1.3,0.59,3753|3757|3784|9992|10008,KCNE1|KCNH2|KCNQ1|KCNE2|KCNE3,-5,MyList
WikiPathways,27,WP4919,Neuroinflammation,,-6.5,31,12,30169,13,374,5,1.3,0.59,1432|2353|3725|5599|5970,MAPK14|FOS|JUN|MAPK8|RELA,-5,MyList
GO Molecular Functions,21,GO:1902282,voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization,,-6.5,31,12,30169,13,374,5,1.3,0.59,3753|3757|3784|9992|10008,KCNE1|KCNH2|KCNQ1|KCNE2|KCNE3,-5,MyList
GO Biological Processes,19,GO:0051450,myoblast proliferation,19_GO:0009987 cellular process,-6.5,31,12,30169,13,374,5,1.3,0.59,25|1499|2353|3479|6714,ABL1|CTNNB1|FOS|IGF1|SRC,-5,MyList
GO Biological Processes,19,GO:0099625,ventricular cardiac muscle cell membrane repolarization,19_GO:0065007 biological regulation,-6.5,31,12,30169,13,374,5,1.3,0.59,3753|3757|3784|9992|10008,KCNE1|KCNH2|KCNQ1|KCNE2|KCNE3,-5,MyList
GO Biological Processes,19,GO:0050680,negative regulation of epithelial cell proliferation,19_GO:0048519 negative regulation of biological process,-6.5,6,7.4,30169,176,374,13,3.5,0.95,240|367|675|1027|2263|2625|4763|4851|5469|5728|5828|5925|7040,ALOX5|AR|BRCA2|CDKN1B|FGFR2|GATA3|NF1|NOTCH1|MED1|PTEN|PEX2|RB1|TGFB1,-5,MyList
Reactome Gene Sets,6,R-HSA-8849470,PTK6 Regulates Cell Cycle,,-6.5,54,14,30169,6,374,4,1.1,0.53,595|1017|1019|1027,CCND1|CDK2|CDK4|CDKN1B,-5,MyList
Reactome Gene Sets,6,R-HSA-9603381,Activated NTRK3 signals through PI3K,,-6.5,54,14,30169,6,374,4,1.1,0.53,3667|5290|5295|6714,IRS1|PIK3CA|PIK3R1|SRC,-5,MyList
CORUM,33,CORUM:2222,BLM complex II,,-6.5,54,14,30169,6,374,4,1.1,0.53,641|6117|6119|7156,BLM|RPA1|RPA3|TOP3A,-5,MyList
CORUM,33,CORUM:2738,BLM complex II,,-6.5,54,14,30169,6,374,4,1.1,0.53,641|6117|6119|7156,BLM|RPA1|RPA3|TOP3A,-5,MyList
GO Biological Processes,19,GO:0045860,positive regulation of protein kinase activity,19_GO:0048518 positive regulation of biological process,-6.5,3.9,6.6,30169,418,374,20,5.3,1.2,25|207|595|1027|1908|1950|1956|2064|2065|2260|3479|3630|3717|5170|5290|6714|7040|7422|8812|51422,ABL1|AKT1|CCND1|CDKN1B|EDN3|EGF|EGFR|ERBB2|ERBB3|FGFR1|IGF1|INS|JAK2|PDPK1|PIK3CA|SRC|TGFB1|VEGFA|CCNK|PRKAG2,-5,MyList
GO Biological Processes,19,GO:0032355,response to estradiol,19_GO:0050896 response to stimulus,-6.5,7.3,7.8,30169,121,374,11,2.9,0.87,595|841|1027|1499|1956|2099|2706|3169|6774|7040|7054,CCND1|CASP8|CDKN1B|CTNNB1|EGFR|ESR1|GJB2|FOXA1|STAT3|TGFB1|TH,-5,MyList
GO Biological Processes,19,GO:0031348,negative regulation of defense response,19_GO:0048519 negative regulation of biological process,-6.5,4.7,7,30169,272,374,16,4.3,1,240|1432|2534|2625|2950|3479|3630|4790|5335|5465|5925|6714|10225|11005|11277|91662,ALOX5|MAPK14|FYN|GATA3|GSTP1|IGF1|INS|NFKB1|PLCG1|PPARA|RB1|SRC|CD96|SPINK5|TREX1|NLRP12,-5,MyList
GO Biological Processes,19,GO:0002687,positive regulation of leukocyte migration,19_GO:0040011 locomotion,-6.4,6.5,7.6,30169,148,374,12,3.2,0.91,25|1908|3146|3569|3576|5054|5295|5594|5879|5880|7422|196527,ABL1|EDN3|HMGB1|IL6|CXCL8|SERPINE1|PIK3R1|MAPK1|RAC1|RAC2|VEGFA|ANO6,-5,MyList
GO Biological Processes,19,GO:0002449,lymphocyte mediated immunity,19_GO:0002376 immune system process,-6.4,5.1,7.1,30169,239,374,15,4,1,326|1075|1130|2067|2214|2625|3251|3981|4179|4292|4683|5873|6891|9025|11277,AIRE|CTSC|LYST|ERCC1|FCGR3A|GATA3|HPRT1|LIG4|CD46|MLH1|NBN|RAB27A|TAP2|RNF8|TREX1,-5,MyList
GO Biological Processes,19,GO:0030168,platelet activation,19_GO:0032501 multicellular organismal process,-6.4,8.3,8.1,30169,97,374,10,2.7,0.83,1432|2811|2812|3569|3932|5290|5291|6714|29071|388552,MAPK14|GP1BA|GP1BB|IL6|LCK|PIK3CA|PIK3CB|SRC|C1GALT1C1|BLOC1S3,-5,MyList
GO Biological Processes,19,GO:0002690,positive regulation of leukocyte chemotaxis,19_GO:0040011 locomotion,-6.4,8.3,8.1,30169,97,374,10,2.7,0.83,1908|3146|3569|3576|5054|5594|5879|5880|7422|196527,EDN3|HMGB1|IL6|CXCL8|SERPINE1|MAPK1|RAC1|RAC2|VEGFA|ANO6,-5,MyList
GO Biological Processes,19,GO:0045088,regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.4,5,7,30169,240,374,15,4,1,841|1387|2033|2534|3075|3146|3630|3659|5469|5781|6714|10084|10225|11277|84282,CASP8|CREBBP|EP300|FYN|CFH|HMGB1|INS|IRF1|MED1|PTPN11|SRC|PQBP1|CD96|TREX1|RNF135,-5,MyList
GO Biological Processes,19,GO:0033673,negative regulation of kinase activity,19_GO:0048519 negative regulation of biological process,-6.4,5,7,30169,240,374,15,4,1,25|207|1027|1029|2950|4763|4771|5170|5291|5728|5925|8850|25937|51422|161742,ABL1|AKT1|CDKN1B|CDKN2A|GSTP1|NF1|NF2|PDPK1|PIK3CB|PTEN|RB1|KAT2B|WWTR1|PRKAG2|SPRED1,-5,MyList
Reactome Gene Sets,6,R-HSA-9006936,Signaling by TGFB family members,,-6.4,7.3,7.8,30169,122,374,11,2.9,0.87,268|269|2033|2200|5054|5594|7040|8812|9611|10468|25937,AMH|AMHR2|EP300|FBN1|SERPINE1|MAPK1|TGFB1|CCNK|NCOR1|FST|WWTR1,-5,MyList
GO Biological Processes,19,GO:0071901,negative regulation of protein serine/threonine kinase activity,19_GO:0048519 negative regulation of biological process,-6.4,7.3,7.8,30169,122,374,11,2.9,0.87,25|207|1027|1029|2950|4763|5291|5728|5925|8850|51422,ABL1|AKT1|CDKN1B|CDKN2A|GSTP1|NF1|PIK3CB|PTEN|RB1|KAT2B|PRKAG2,-5,MyList
Reactome Gene Sets,6,R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),,-6.4,12,8.9,30169,55,374,8,2.1,0.75,1387|1717|5465|5469|10498|10499|23054|51360,CREBBP|DHCR7|PPARA|MED1|CARM1|NCOA2|NCOA6|MBTPS2,-5,MyList
GO Biological Processes,19,GO:0002200,somatic diversification of immune receptors,19_GO:0002376 immune system process,-6.4,12,8.9,30169,55,374,8,2.1,0.75,472|2067|3146|3981|4292|4683|5395|9025,ATM|ERCC1|HMGB1|LIG4|MLH1|NBN|PMS2|RNF8,-5,MyList
Reactome Gene Sets,6,R-HSA-9725370,Signaling by ALK fusions and activated point mutants,,-6.4,12,8.9,30169,55,374,8,2.1,0.75,2885|3667|4204|5290|5295|5335|5594|6774,GRB2|IRS1|MECP2|PIK3CA|PIK3R1|PLCG1|MAPK1|STAT3,-5,MyList
Reactome Gene Sets,6,R-HSA-9700206,Signaling by ALK in cancer,,-6.4,12,8.9,30169,55,374,8,2.1,0.75,2885|3667|4204|5290|5295|5335|5594|6774,GRB2|IRS1|MECP2|PIK3CA|PIK3R1|PLCG1|MAPK1|STAT3,-5,MyList
WikiPathways,27,WP4341,"Non-genomic actions of 1,25 dihydroxyvitamin D3",,-6.4,9.7,8.4,30169,75,374,9,2.4,0.79,1432|3569|3576|3725|3845|4790|5469|5594|5599,MAPK14|IL6|CXCL8|JUN|KRAS|NFKB1|MED1|MAPK1|MAPK8,-5,MyList
