Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-9634635,Estrogen-stimulated signaling through PRKCZ,,-4.5,43,11,30169,6,351,3,0.85,0.49,3845|5170|5594,KRAS|PDPK1|MAPK1,-3.8
MyList,CORUM,33,CORUM:435,BASC (Ab 81) complex (BRCA1-associated genome surveillance complex),,-4.5,43,11,30169,6,351,3,0.85,0.49,472|672|4292,ATM|BRCA1|MLH1,-3.8
MyList,CORUM,33,CORUM:3061,"RNA polymerase II complex (CBP, PCAF, RPB1, BAF47, CYCC, CDK8), chromatin structure modifying",,-4.5,43,11,30169,6,351,3,0.85,0.49,1387|6598|8850,CREBBP|SMARCB1|KAT2B,-3.8
MyList,Chemical And Genetic Perturbations,13,M1945,ISHIDA E2F TARGETS,,-4.5,9.9,7,30169,52,351,6,1.7,0.69,1017|5888|5925|6117|6240|7153,CDK2|RAD51|RB1|RPA1|RRM1|TOP2A,-3.8
MyList,GO Biological Processes,19,GO:0046622,positive regulation of organ growth,19_GO:0040007 growth,-4.5,9.9,7,30169,52,351,6,1.7,0.69,207|1432|2263|3479|4851|10413,AKT1|MAPK14|FGFR2|IGF1|NOTCH1|YAP1,-3.8
MyList,Reactome Gene Sets,6,R-HSA-383280,Nuclear Receptor transcription pathway,,-4.5,9.9,7,30169,52,351,6,1.7,0.69,367|2099|5465|5469|9611|10002,AR|ESR1|PPARA|MED1|NCOR1|NR2E3,-3.8
MyList,Reactome Gene Sets,6,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,,-4.5,4.6,5.6,30169,205,351,11,3.1,0.93,1144|1145|3759|3766|3845|5170|5594|5879|6714|51422|81027,CHRND|CHRNE|KCNJ2|KCNJ10|KRAS|PDPK1|MAPK1|RAC1|SRC|PRKAG2|TUBB1,-3.8
MyList,Reactome Gene Sets,6,R-HSA-397014,Muscle contraction,,-4.5,4.6,5.6,30169,205,351,11,3.1,0.93,783|3753|3757|3759|3784|6330|8850|9992|10008|25937|55800,CACNB2|KCNE1|KCNH2|KCNJ2|KCNQ1|SCN4B|KAT2B|KCNE2|KCNE3|WWTR1|SCN3B,-3.8
MyList,GO Biological Processes,19,GO:0052547,regulation of peptidase activity,19_GO:0008152 metabolic process,-4.5,3.2,5.1,30169,459,351,17,4.8,1.1,207|551|841|2534|3146|3717|3730|3932|5054|5447|6714|6774|7422|11005|23400|64065|91662,AKT1|AVP|CASP8|FYN|HMGB1|JAK2|ANOS1|LCK|SERPINE1|POR|SRC|STAT3|VEGFA|SPINK5|ATP13A2|PERP|NLRP12,-3.8
MyList,Reactome Gene Sets,6,R-HSA-5626467,RHO GTPases activate IQGAPs,,-4.5,13,7.6,30169,32,351,5,1.4,0.63,998|999|1499|5879|81027,CDC42|CDH1|CTNNB1|RAC1|TUBB1,-3.8
MyList,Chemical And Genetic Perturbations,13,M9066,BANDRES RESPONSE TO CARMUSTIN WITHOUT MGMT 48HR DN,,-4.5,13,7.6,30169,32,351,5,1.4,0.63,268|2052|2200|2534|3667,AMH|EPHX1|FBN1|FYN|IRS1,-3.8
MyList,WikiPathways,27,WP34,Ovarian infertility,,-4.5,13,7.6,30169,32,351,5,1.4,0.63,472|1019|1027|4292|9611,ATM|CDK4|CDKN1B|MLH1|NCOR1,-3.8
MyList,WikiPathways,27,WP4838,Regucalcin in proximal tubule epithelial kidney cells,,-4.5,13,7.6,30169,32,351,5,1.4,0.63,207|841|5290|5594|7040,AKT1|CASP8|PIK3CA|MAPK1|TGFB1,-3.8
MyList,GO Biological Processes,19,GO:0014855,striated muscle cell proliferation,19_GO:0009987 cellular process,-4.5,13,7.6,30169,32,351,5,1.4,0.63,25|2303|2353|4851|6714,ABL1|FOXC2|FOS|NOTCH1|SRC,-3.8
MyList,WikiPathways,27,WP2839,Hair follicle development: organogenesis - part 2 of 3,,-4.5,13,7.6,30169,32,351,5,1.4,0.63,595|999|1499|2263|4790,CCND1|CDH1|CTNNB1|FGFR2|NFKB1,-3.8
MyList,GO Biological Processes,19,GO:0045671,negative regulation of osteoclast differentiation,19_GO:0002376 immune system process,-4.5,13,7.6,30169,32,351,5,1.4,0.63,1499|2200|4763|4982|5295,CTNNB1|FBN1|NF1|TNFRSF11B|PIK3R1,-3.8
MyList,GO Biological Processes,19,GO:0032770,positive regulation of monooxygenase activity,19_GO:0065007 biological regulation,-4.5,13,7.6,30169,32,351,5,1.4,0.63,207|2668|3630|5291|5447,AKT1|GDNF|INS|PIK3CB|POR,-3.8
MyList,Chemical And Genetic Perturbations,13,M10861,LI PROSTATE CANCER EPIGENETIC,,-4.5,13,7.6,30169,32,351,5,1.4,0.63,367|999|1029|2099|2950,AR|CDH1|CDKN2A|ESR1|GSTP1,-3.8
MyList,GO Cellular Components,20,GO:1902911,protein kinase complex,,-4.5,5.7,5.9,30169,136,351,9,2.6,0.84,269|595|1017|1019|2068|3667|8812|51422|92002,AMHR2|CCND1|CDK2|CDK4|ERCC2|IRS1|CCNK|PRKAG2|CCNQ,-3.8
MyList,GO Biological Processes,19,GO:0010565,regulation of cellular ketone metabolic process,19_GO:0008152 metabolic process,-4.5,5.7,5.9,30169,136,351,9,2.6,0.84,207|551|672|3630|3667|5465|9611|11277|51422,AKT1|AVP|BRCA1|INS|IRS1|PPARA|NCOR1|TREX1|PRKAG2,-3.8
MyList,Chemical And Genetic Perturbations,13,M12602,WOO LIVER CANCER RECURRENCE UP,,-4.5,6.5,6.2,30169,105,351,8,2.3,0.8,596|2260|2263|3576|3730|4256|4853|7040,BCL2|FGFR1|FGFR2|CXCL8|ANOS1|MGP|NOTCH2|TGFB1,-3.8
MyList,Chemical And Genetic Perturbations,13,M1361,DAZARD RESPONSE TO UV SCC UP,,-4.5,6.5,6.2,30169,105,351,8,2.3,0.8,950|2353|3251|3569|3576|5889|5965|10664,SCARB2|FOS|HPRT1|IL6|CXCL8|RAD51C|RECQL|CTCF,-3.8
MyList,Chemical And Genetic Perturbations,13,M1719,LEIN CHOROID PLEXUS MARKERS,,-4.5,6.5,6.2,30169,105,351,8,2.3,0.8,1075|2052|3075|4256|4647|4853|9992|64065,CTSC|EPHX1|CFH|MGP|MYO7A|NOTCH2|KCNE2|PERP,-3.8
MyList,Chemical And Genetic Perturbations,13,M6154,MAHAJAN RESPONSE TO IL1A UP,,-4.5,7.8,6.5,30169,77,351,7,2,0.75,367|3569|3736|5465|5925|6648|7439,AR|IL6|KCNA1|PPARA|RB1|SOD2|BEST1,-3.8
MyList,Chemical And Genetic Perturbations,13,M9143,FRIDMAN SENESCENCE UP,,-4.5,7.8,6.5,30169,77,351,7,2,0.75,595|1029|4692|5054|5879|7157|11234,CCND1|CDKN2A|NDN|SERPINE1|RAC1|TP53|HPS5,-3.8
MyList,WikiPathways,27,WP4949,16p11.2 proximal deletion syndrome,,-4.5,7.8,6.5,30169,77,351,7,2,0.75,841|2099|4790|5518|5528|5728|7157,CASP8|ESR1|NFKB1|PPP2R1A|PPP2R5D|PTEN|TP53,-3.8
MyList,Chemical And Genetic Perturbations,13,M17937,NAKAYAMA SOFT TISSUE TUMORS PCA1 DN,,-4.5,7.8,6.5,30169,77,351,7,2,0.75,1287|1908|2263|2812|4692|5881|9244,COL4A5|EDN3|FGFR2|GP1BB|NDN|RAC3|CRLF1,-3.8
MyList,GO Biological Processes,19,GO:0140013,meiotic nuclear division,19_GO:0022414 reproductive process,-4.5,5.1,5.8,30169,170,351,10,2.8,0.89,472|675|701|4292|4361|5518|5888|5889|7153|83990,ATM|BRCA2|BUB1B|MLH1|MRE11|PPP2R1A|RAD51|RAD51C|TOP2A|BRIP1,-3.8
MyList,Chemical And Genetic Perturbations,13,M12498,UEDA PERIFERAL CLOCK,,-4.5,5.1,5.8,30169,170,351,10,2.8,0.89,1108|1432|1717|2065|5447|5465|8850|8864|9663|80781,CHD4|MAPK14|DHCR7|ERBB3|POR|PPARA|KAT2B|PER2|LPIN2|COL18A1,-3.8
MyList,Chemical And Genetic Perturbations,13,M18979,HAMAI APOPTOSIS VIA TRAIL UP,,-4.5,2.8,4.9,30169,656,351,21,6,1.3,472|545|641|672|701|999|3146|3479|3981|4281|4683|4724|5290|5728|5873|5932|5965|8546|10468|25836|51574,ATM|ATR|BLM|BRCA1|BUB1B|CDH1|HMGB1|IGF1|LIG4|MID1|NBN|NDUFS4|PIK3CA|PTEN|RAB27A|RBBP8|RECQL|AP3B1|FST|NIPBL|LARP7,-3.8
MyList,Chemical And Genetic Perturbations,13,M854,LINDGREN BLADDER CANCER CLUSTER 3 UP,,-4.5,3.7,5.3,30169,327,351,14,4,1,672|1017|2052|2064|4835|5888|5889|6119|6640|7153|8802|10535|23054|79710,BRCA1|CDK2|EPHX1|ERBB2|NQO2|RAD51|RAD51C|RPA3|SNTA1|TOP2A|SUCLG1|RNASEH2A|NCOA6|MORC4,-3.8
MyList,Chemical And Genetic Perturbations,13,M1376,GOTZMANN EPITHELIAL TO MESENCHYMAL TRANSITION DN,,-4.5,4.6,5.6,30169,207,351,11,3.1,0.93,999|1029|1432|1499|2353|2950|4014|5825|7153|7157|51082,CDH1|CDKN2A|MAPK14|CTNNB1|FOS|GSTP1|LORICRIN|ABCD3|TOP2A|TP53|POLR1D,-3.8
MyList,GO Molecular Functions,21,GO:0140296,general transcription initiation factor binding,,-4.5,9.7,6.9,30169,53,351,6,1.7,0.69,367|2067|2099|3725|5970|7157,AR|ERCC1|ESR1|JUN|RELA|TP53,-3.8
MyList,WikiPathways,27,WP2864,Apoptosis-related network due to altered Notch3 in ovarian cancer,,-4.5,9.7,6.9,30169,53,351,6,1.7,0.69,25|207|1027|2065|4790|5594,ABL1|AKT1|CDKN1B|ERBB3|NFKB1|MAPK1,-3.8
MyList,Canonical Pathways,11,M113,PID NFAT 3PATHWAY,,-4.5,9.7,6.9,30169,53,351,6,1.7,0.69,596|1387|1432|2033|4214|5599,BCL2|CREBBP|MAPK14|EP300|MAP3K1|MAPK8,-3.8
MyList,GO Biological Processes,19,GO:0065002,intracellular protein transmembrane transport,19_GO:0051179 localization,-4.5,9.7,6.9,30169,53,351,6,1.7,0.69,5189|5192|5194|5195|5828|9409,PEX1|PEX10|PEX13|PEX14|PEX2|PEX16,-3.8
MyList,Chemical And Genetic Perturbations,13,M9911,WOO LIVER CANCER RECURRENCE DN,,-4.5,7.7,6.4,30169,78,351,7,2,0.75,30|224|2052|2746|5447|5465|10166,ACAA1|ALDH3A2|EPHX1|GLUD1|POR|PPARA|SLC25A15,-3.8
MyList,GO Biological Processes,19,GO:0045862,positive regulation of proteolysis,19_GO:0048518 positive regulation of biological process,-4.4,3.5,5.2,30169,372,351,15,4.3,1.1,207|841|1075|1950|2534|3146|3717|3932|5728|6714|6774|9992|55212|64065|91662,AKT1|CASP8|CTSC|EGF|FYN|HMGB1|JAK2|LCK|PTEN|SRC|STAT3|KCNE2|BBS7|PERP|NLRP12,-3.8
MyList,GO Biological Processes,19,GO:0044270,cellular nitrogen compound catabolic process,19_GO:0008152 metabolic process,-4.4,3.7,5.3,30169,329,351,14,4,1,472|1565|1890|3251|4292|5447|7389|8802|8803|9939|10535|11277|79621|84153,ATM|CYP2D6|TYMP|HPRT1|MLH1|POR|UROD|SUCLG1|SUCLA2|RBM8A|RNASEH2A|TREX1|RNASEH2B|RNASEH2C,-3.8
MyList,GO Biological Processes,19,GO:2001242,regulation of intrinsic apoptotic signaling pathway,19_GO:0023052 signaling,-4.4,5,5.7,30169,172,351,10,2.8,0.89,207|596|3630|3932|4722|5291|6648|6714|7157|7466,AKT1|BCL2|INS|LCK|NDUFS3|PIK3CB|SOD2|SRC|TP53|WFS1,-3.8
MyList,Chemical And Genetic Perturbations,13,M8673,MARTINEZ TP53 TARGETS DN,,-4.4,2.8,4.9,30169,610,351,20,5.7,1.2,472|595|1108|1908|1956|2052|2706|2950|3146|4149|4695|4851|5352|5932|7021|7157|10999|11200|23396|80781,ATM|CCND1|CHD4|EDN3|EGFR|EPHX1|GJB2|GSTP1|HMGB1|MAX|NDUFA2|NOTCH1|PLOD2|RBBP8|TFAP2B|TP53|SLC27A4|CHEK2|PIP5K1C|COL18A1,-3.7
MyList,Chemical And Genetic Perturbations,13,M4913,IZADPANAH STEM CELL ADIPOSE VS BONE DN,,-4.4,6.4,6.1,30169,107,351,8,2.3,0.8,367|1290|2200|2625|3479|4692|5352|51422,AR|COL5A2|FBN1|GATA3|IGF1|NDN|PLOD2|PRKAG2,-3.7
MyList,Chemical And Genetic Perturbations,13,M19630,ZHU CMV ALL UP,,-4.4,6.4,6.1,30169,107,351,8,2.3,0.8,675|950|2260|3569|3659|3981|4790|5925,BRCA2|SCARB2|FGFR1|IL6|IRF1|LIG4|NFKB1|RB1,-3.7
MyList,GO Biological Processes,19,GO:0009260,ribonucleotide biosynthetic process,19_GO:0008152 metabolic process,-4.4,4.5,5.5,30169,209,351,11,3.1,0.93,1716|1723|3251|4695|4722|4723|4724|4728|7040|51422|374291,DGUOK|DHODH|HPRT1|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|TGFB1|PRKAG2|NDUFS7,-3.7
MyList,WikiPathways,27,WP4874,CAMKK2 pathway,,-4.4,13,7.5,30169,33,351,5,1.4,0.63,2033|5594|5879|5970|7466,EP300|MAPK1|RAC1|RELA|WFS1,-3.7
MyList,GO Biological Processes,19,GO:0033032,regulation of myeloid cell apoptotic process,19_GO:0050789 regulation of biological process,-4.4,13,7.5,30169,33,351,5,1.4,0.63,596|1029|4763|5291|5728,BCL2|CDKN2A|NF1|PIK3CB|PTEN,-3.7
MyList,GO Biological Processes,19,GO:0048010,vascular endothelial growth factor receptor signaling pathway,19_GO:0023052 signaling,-4.4,13,7.5,30169,33,351,5,1.4,0.63,1432|2303|2534|6714|7422,MAPK14|FOXC2|FYN|SRC|VEGFA,-3.7
MyList,GO Biological Processes,19,GO:0007143,female meiotic nuclear division,19_GO:0022414 reproductive process,-4.4,13,7.5,30169,33,351,5,1.4,0.63,472|4292|5518|5889|7153,ATM|MLH1|PPP2R1A|RAD51C|TOP2A,-3.7
MyList,WikiPathways,27,WP3676,BDNF-TrkB signaling,,-4.4,13,7.5,30169,33,351,5,1.4,0.63,207|2885|3845|5335|5594,AKT1|GRB2|KRAS|PLCG1|MAPK1,-3.7
MyList,WikiPathways,27,WP408,Oxidative stress response,,-4.4,13,7.5,30169,33,351,5,1.4,0.63,1432|2353|4128|4790|6648,MAPK14|FOS|MAOA|NFKB1|SOD2,-3.7
MyList,GO Molecular Functions,21,GO:0030291,protein serine/threonine kinase inhibitor activity,,-4.4,13,7.5,30169,33,351,5,1.4,0.63,1027|1029|8850|51422|161742,CDKN1B|CDKN2A|KAT2B|PRKAG2|SPRED1,-3.7
MyList,Reactome Gene Sets,6,R-HSA-418990,Adherens junctions interactions,,-4.4,13,7.5,30169,33,351,5,1.4,0.63,999|1000|1499|5818|81607,CDH1|CDH2|CTNNB1|NECTIN1|NECTIN4,-3.7
MyList,WikiPathways,27,WP4880,Host-pathogen interaction of human coronaviruses - interferon induction,,-4.4,13,7.5,30169,33,351,5,1.4,0.63,1432|2353|3725|4790|5599,MAPK14|FOS|JUN|NFKB1|MAPK8,-3.7
MyList,WikiPathways,27,WP5088,Prostaglandin signaling,,-4.4,13,7.5,30169,33,351,5,1.4,0.63,3569|3576|4790|7040|7422,IL6|CXCL8|NFKB1|TGFB1|VEGFA,-3.7
MyList,GO Biological Processes,19,GO:1905114,cell surface receptor signaling pathway involved in cell-cell signaling,19_GO:0023052 signaling,-4.4,3.4,5.2,30169,374,351,15,4.3,1.1,207|595|998|1144|1145|1499|2625|4038|4204|5728|5879|5881|10413|22930|54894,AKT1|CCND1|CDC42|CHRND|CHRNE|CTNNB1|GATA3|LRP4|MECP2|PTEN|RAC1|RAC3|YAP1|RAB3GAP1|RNF43,-3.7
MyList,GO Cellular Components,20,GO:0009898,cytoplasmic side of plasma membrane,,-4.4,5,5.7,30169,173,351,10,2.8,0.89,207|999|2534|3845|3932|5728|5879|6714|7054|7827,AKT1|CDH1|FYN|KRAS|LCK|PTEN|RAC1|SRC|TH|NPHS2,-3.7
MyList,GO Biological Processes,19,GO:0051412,response to corticosterone,19_GO:0050896 response to stimulus,-4.4,20,8.6,30169,17,351,4,1.1,0.57,15|595|2353|7054,AANAT|CCND1|FOS|TH,-3.7
MyList,Canonical Pathways,11,M18895,SA TRKA RECEPTOR,,-4.4,20,8.6,30169,17,351,4,1.1,0.57,207|2885|5290|10000,AKT1|GRB2|PIK3CA|AKT3,-3.7
MyList,WikiPathways,27,WP3859,TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition,,-4.4,20,8.6,30169,17,351,4,1.1,0.57,207|999|1000|5594,AKT1|CDH1|CDH2|MAPK1,-3.7
MyList,WikiPathways,27,WP4872,MAP3K1 role in promoting and blocking gonadal determination,,-4.4,20,8.6,30169,17,351,4,1.1,0.57,1499|2263|4214|5594,CTNNB1|FGFR2|MAP3K1|MAPK1,-3.7
MyList,GO Molecular Functions,21,GO:0060229,lipase activator activity,,-4.4,20,8.6,30169,17,351,4,1.1,0.57,2534|3932|5170|6714,FYN|LCK|PDPK1|SRC,-3.7
MyList,Canonical Pathways,11,M251,PID SYNDECAN 3 PATHWAY,,-4.4,20,8.6,30169,17,351,4,1.1,0.57,1956|2534|3576|6714,EGFR|FYN|CXCL8|SRC,-3.7
MyList,GO Biological Processes,19,GO:0003356,regulation of cilium beat frequency,19_GO:0050789 regulation of biological process,-4.4,20,8.6,30169,17,351,4,1.1,0.57,582|583|585|8195,BBS1|BBS2|BBS4|MKKS,-3.7
MyList,GO Biological Processes,19,GO:1900034,regulation of cellular response to heat,19_GO:0050896 response to stimulus,-4.4,20,8.6,30169,17,351,4,1.1,0.57,472|545|1387|2033,ATM|ATR|CREBBP|EP300,-3.7
MyList,Reactome Gene Sets,6,R-HSA-432142,Platelet sensitization by LDL,,-4.4,20,8.6,30169,17,351,4,1.1,0.57,1432|5518|5528|5781,MAPK14|PPP2R1A|PPP2R5D|PTPN11,-3.7
MyList,GO Biological Processes,19,GO:0006349,regulation of gene expression by genomic imprinting,19_GO:0008152 metabolic process,-4.4,20,8.6,30169,17,351,4,1.1,0.57,672|3784|4204|10664,BRCA1|KCNQ1|MECP2|CTCF,-3.7
MyList,GO Biological Processes,19,GO:0038083,peptidyl-tyrosine autophosphorylation,19_GO:0008152 metabolic process,-4.4,20,8.6,30169,17,351,4,1.1,0.57,25|1956|3932|6714,ABL1|EGFR|LCK|SRC,-3.7
MyList,GO Molecular Functions,21,GO:0000400,four-way junction DNA binding,,-4.4,20,8.6,30169,17,351,4,1.1,0.57,25|641|3146|5889,ABL1|BLM|HMGB1|RAD51C,-3.7
MyList,GO Biological Processes,19,GO:0014829,vascular associated smooth muscle contraction,19_GO:0032501 multicellular organismal process,-4.4,20,8.6,30169,17,351,4,1.1,0.57,583|1908|6338|8195,BBS2|EDN3|SCNN1B|MKKS,-3.7
MyList,GO Biological Processes,19,GO:0006474,N-terminal protein amino acid acetylation,19_GO:0008152 metabolic process,-4.4,20,8.6,30169,17,351,4,1.1,0.57,15|1387|2033|8850,AANAT|CREBBP|EP300|KAT2B,-3.7
MyList,GO Biological Processes,19,GO:0045778,positive regulation of ossification,19_GO:0048518 positive regulation of biological process,-4.4,9.6,6.8,30169,54,351,6,1.7,0.69,240|5781|7040|25836|56975|196527,ALOX5|PTPN11|TGFB1|NIPBL|FAM20C|ANO6,-3.7
MyList,GO Biological Processes,19,GO:0001541,ovarian follicle development,19_GO:0022414 reproductive process,-4.4,9.6,6.8,30169,54,351,6,1.7,0.69,268|472|596|2099|6714|7422,AMH|ATM|BCL2|ESR1|SRC|VEGFA,-3.7
MyList,GO Biological Processes,19,GO:1904031,positive regulation of cyclin-dependent protein kinase activity,19_GO:0048518 positive regulation of biological process,-4.4,9.6,6.8,30169,54,351,6,1.7,0.69,207|595|1027|1956|6714|8812,AKT1|CCND1|CDKN1B|EGFR|SRC|CCNK,-3.7
MyList,GO Biological Processes,19,GO:1902743,regulation of lamellipodium organization,19_GO:0050789 regulation of biological process,-4.4,9.6,6.8,30169,54,351,6,1.7,0.69,998|5290|5295|5879|5880|6714,CDC42|PIK3CA|PIK3R1|RAC1|RAC2|SRC,-3.7
MyList,Reactome Gene Sets,6,R-HSA-3214858,RMTs methylate histone arginines,,-4.4,7.6,6.4,30169,79,351,7,2,0.75,595|1019|3717|6598|6605|8289|10498,CCND1|CDK4|JAK2|SMARCB1|SMARCE1|ARID1A|CARM1,-3.7
MyList,GO Biological Processes,19,GO:0002088,lens development in camera-type eye,19_GO:0032502 developmental process,-4.4,7.6,6.4,30169,79,351,7,2,0.75,1499|2625|4771|4810|5469|5818|147912,CTNNB1|GATA3|NF2|NHS|MED1|NECTIN1|SIX5,-3.7
MyList,GO Cellular Components,20,GO:0008076,voltage-gated potassium channel complex,,-4.4,7.6,6.4,30169,79,351,7,2,0.75,3736|3753|3757|3759|3784|9992|10021,KCNA1|KCNE1|KCNH2|KCNJ2|KCNQ1|KCNE2|HCN4,-3.7
MyList,Chemical And Genetic Perturbations,13,M1106,GRAESSMANN RESPONSE TO MC AND DOXORUBICIN UP,,-4.4,2.8,4.9,30169,612,351,20,5.7,1.2,30|1302|2052|2625|2746|5317|5528|5781|5925|6535|7422|7515|9244|11277|23400|64065|79710|80781|84153|84282,ACAA1|COL11A2|EPHX1|GATA3|GLUD1|PKP1|PPP2R5D|PTPN11|RB1|SLC6A8|VEGFA|XRCC1|CRLF1|TREX1|ATP13A2|PERP|MORC4|COL18A1|RNASEH2C|RNF135,-3.7
MyList,Chemical And Genetic Perturbations,13,M939,HADDAD B LYMPHOCYTE PROGENITOR,,-4.4,3.9,5.3,30169,289,351,13,3.7,1,240|472|545|580|1027|3725|3759|5925|6648|7153|7466|8850|89781,ALOX5|ATM|ATR|BARD1|CDKN1B|JUN|KCNJ2|RB1|SOD2|TOP2A|WFS1|KAT2B|HPS4,-3.7
MyList,GO Biological Processes,19,GO:0031331,positive regulation of cellular catabolic process,19_GO:0048518 positive regulation of biological process,-4.4,3.3,5.1,30169,420,351,16,4.6,1.1,207|472|1950|3146|3479|3569|3630|3667|4292|5291|5465|5728|9531|22930|25782|55212,AKT1|ATM|EGF|HMGB1|IGF1|IL6|INS|IRS1|MLH1|PIK3CB|PPARA|PTEN|BAG3|RAB3GAP1|RAB3GAP2|BBS7,-3.7
MyList,GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-4.4,4.5,5.5,30169,210,351,11,3.1,0.93,25|2064|2625|3146|3659|4179|6598|6605|8289|8546|11005,ABL1|ERBB2|GATA3|HMGB1|IRF1|CD46|SMARCB1|SMARCE1|ARID1A|AP3B1|SPINK5,-3.7
MyList,GO Biological Processes,19,GO:0033138,positive regulation of peptidyl-serine phosphorylation,19_GO:0048518 positive regulation of biological process,-4.4,6.4,6.1,30169,108,351,8,2.3,0.8,207|551|596|1956|3569|5290|7040|7422,AKT1|AVP|BCL2|EGFR|IL6|PIK3CA|TGFB1|VEGFA,-3.7
MyList,GO Biological Processes,19,GO:1902106,negative regulation of leukocyte differentiation,19_GO:0002376 immune system process,-4.4,6.4,6.1,30169,108,351,8,2.3,0.8,1499|2064|2200|3146|3659|4763|4982|5295,CTNNB1|ERBB2|FBN1|HMGB1|IRF1|NF1|TNFRSF11B|PIK3R1,-3.7
MyList,WikiPathways,27,WP4321,Thermogenesis,,-4.4,6.4,6.1,30169,108,351,8,2.3,0.8,1432|2260|2885|3845|6598|6605|8289|51422,MAPK14|FGFR1|GRB2|KRAS|SMARCB1|SMARCE1|ARID1A|PRKAG2,-3.7
MyList,GO Biological Processes,19,GO:0032231,regulation of actin filament bundle assembly,19_GO:0050789 regulation of biological process,-4.4,6.4,6.1,30169,108,351,8,2.3,0.8,25|585|998|4771|5295|5296|5879|8195,ABL1|BBS4|CDC42|NF2|PIK3R1|PIK3R2|RAC1|MKKS,-3.7
MyList,GO Biological Processes,19,GO:0005996,monosaccharide metabolic process,19_GO:0008152 metabolic process,-4.4,4.9,5.7,30169,174,351,10,2.8,0.89,207|1432|3630|3784|5290|5465|7021|7157|8850|8864,AKT1|MAPK14|INS|KCNQ1|PIK3CA|PPARA|TFAP2B|TP53|KAT2B|PER2,-3.7
MyList,GO Molecular Functions,21,GO:0099106,ion channel regulator activity,,-4.4,5.5,5.8,30169,140,351,9,2.6,0.84,207|3753|6330|6640|7809|9992|10008|23171|55800,AKT1|KCNE1|SCN4B|SNTA1|BSND|KCNE2|KCNE3|GPD1L|SCN3B,-3.7
MyList,GO Biological Processes,19,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,19_GO:0023052 signaling,-4.4,7.5,6.3,30169,80,351,7,2,0.75,1950|2065|2260|3479|3630|3717|6714,EGF|ERBB3|FGFR1|IGF1|INS|JAK2|SRC,-3.7
MyList,Reactome Gene Sets,6,R-HSA-438064,Post NMDA receptor activation events,,-4.4,7.5,6.3,30169,80,351,7,2,0.75,3845|5170|5594|5879|6714|51422|81027,KRAS|PDPK1|MAPK1|RAC1|SRC|PRKAG2|TUBB1,-3.7
MyList,Reactome Gene Sets,6,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,,-4.4,7.5,6.3,30169,80,351,7,2,0.75,472|1017|1027|4361|4683|5925|7157,ATM|CDK2|CDKN1B|MRE11|NBN|RB1|TP53,-3.7
MyList,Reactome Gene Sets,6,R-HSA-1483257,Phospholipid metabolism,,-4.4,4.5,5.5,30169,212,351,11,3.1,0.93,1103|5290|5291|5295|5296|5728|8503|8821|9663|23171|23396,CHAT|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PTEN|PIK3R3|INPP4B|LPIN2|GPD1L|PIP5K1C,-3.7
MyList,Chemical And Genetic Perturbations,13,M9483,SUNG METASTASIS STROMA UP,,-4.4,6.3,6,30169,109,351,8,2.3,0.8,240|1290|3730|4179|5351|5352|5594|5993,ALOX5|COL5A2|ANOS1|CD46|PLOD1|PLOD2|MAPK1|RFX5,-3.7
MyList,Reactome Gene Sets,6,R-HSA-1912422,Pre-NOTCH Expression and Processing,,-4.4,6.3,6,30169,109,351,8,2.3,0.8,595|1387|2033|3725|4851|4853|7157|8850,CCND1|CREBBP|EP300|JUN|NOTCH1|NOTCH2|TP53|KAT2B,-3.7
MyList,GO Biological Processes,19,GO:0006605,protein targeting,19_GO:0051179 localization,-4.4,4.1,5.4,30169,251,351,12,3.4,0.97,950|5189|5192|5194|5195|5824|5828|8504|8546|9409|64374|89781,SCARB2|PEX1|PEX10|PEX13|PEX14|PEX19|PEX2|PEX3|AP3B1|PEX16|SIL1|HPS4,-3.7
MyList,WikiPathways,27,WP2272,Pathogenic Escherichia coli infection,,-4.4,9.4,6.7,30169,55,351,6,1.7,0.69,25|998|999|1499|2534|81027,ABL1|CDC42|CDH1|CTNNB1|FYN|TUBB1,-3.7
MyList,Chemical And Genetic Perturbations,13,M2257,SONG TARGETS OF IE86 CMV PROTEIN,,-4.4,9.4,6.7,30169,55,351,6,1.7,0.69,580|641|5873|5889|6117|6240,BARD1|BLM|RAB27A|RAD51C|RPA1|RRM1,-3.7
MyList,GO Biological Processes,19,GO:0003179,heart valve morphogenesis,19_GO:0032502 developmental process,-4.4,9.4,6.7,30169,55,351,6,1.7,0.69,2625|4194|4851|4853|5925|7040,GATA3|MDM4|NOTCH1|NOTCH2|RB1|TGFB1,-3.7
